topic,keywords,category,priority
AI automation,"AI|automation|agent|workflow|generative AI",Technology,High
China policy,"China policy|industrial policy|policy support|State Council",Policy,High
Australia economy,"Australia economy|GDP|productivity|employment",Economy,High
RBA interest rates,"RBA|cash rate|interest rates|monetary policy",Economy,High
US technology market,"US technology|semiconductor|cloud|software|tech market",Technology,High
Cost of living,"cost of living|household budgets|prices|inflation",Consumer,High
Student jobs,"student jobs|graduate work|casual work|internship",Employment,Medium
Small business automation,"small business|automation|SME|workflow",Business,High
Consumer trends,"consumer spending|retail|customer behaviour|demand",Consumer,Medium
Global trade,"global trade|exports|imports|tariffs|supply chain",Trade,High
Energy transition,"renewable energy|battery|solar|energy transition",Energy,Medium
Housing affordability,"housing affordability|rent|mortgage|home prices",Housing,High
Platform economy,"platform economy|marketplace|gig economy|digital platform",Business,Medium
Creator economy,"creator economy|content creator|audience|monetisation",Content,Medium
